2017-08-14 16:34:11, 1.3.6.1.4.1.25728.8800.1.1.2.1, inbox temperature, 38
2017-08-14 16:34:11, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-14 16:34:11, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-14 16:34:11, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-14 16:34:12, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 1
2017-08-14 16:34:12, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-14 16:34:13, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-14 16:34:13, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-14 16:34:14, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-14 16:34:14, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-14 16:34:14, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
2017-08-14 16:34:15, 1.3.6.1.4.1.99999.1.1.6, SIM status, 0
2017-08-14 16:34:15, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-14 16:34:15, 1.3.6.1.4.1.99999.1.1.8, IMSI, 0
2017-08-14 16:34:16, 1.3.6.1.4.1.99999.1.1.9, Mobile network registration status, 0
2017-08-14 16:35:15, 1.3.6.1.4.1.99999.1.1.10, Signal level, 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.11, Operator currently in use, 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.12, Operator number (MCC+MNC), 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.13, Data session connection state, 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.14, Data session connection type, 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.15, Signal strength trap, 0
2017-08-14 16:36:16, 1.3.6.1.4.1.99999.1.1.16, Connection type trap, 0
2017-08-14 16:36:21, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:36:21, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:36:21, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
